Date,total_percentage,close,open,high,low,volume
2023-03-29,366.4219602382127,32717.599609375,32566.5390625,32728.0390625,32539.939453125,314110000
2023-03-30,392.2019226080832,32859.03125,32807.4296875,32905.80078125,32682.869140625,283380000
2023-03-31,505.1071295233723,33274.1484375,32901.9609375,33291.0,32901.9609375,353740000
2023-04-03,557.2720211698473,33601.1484375,33245.78125,33632.8984375,33245.78125,311890000
2023-04-04,484.6457760622345,33402.37890625,33594.7890625,33634.71875,33275.62109375,283360000
2023-04-05,503.57531829018967,33482.71875,33394.6015625,33543.83984375,33376.26953125,286660000
2023-04-06,503.1224241398441,33485.2890625,33420.9609375,33525.9609375,33325.37109375,258680000
2023-04-10,545.4950084196319,33586.51953125,33425.25,33590.23828125,33343.4296875,232920000
2023-04-11,599.3597865904621,33684.7890625,33586.75,33781.2890625,33586.75,241430000
2023-04-12,566.2034400020661,33646.5,33764.2109375,33895.4296875,33593.3203125,260300000
2023-04-13,617.601235205356,34029.69140625,33668.96875,34054.98828125,33605.171875,277230000
2023-04-14,580.4199153657205,33886.46875,33981.7109375,34082.94140625,33730.8515625,276720000
2023-04-17,625.3996005695511,33987.1796875,33930.4609375,33991.23046875,33796.91015625,234530000
2023-04-18,617.5918823812748,33976.62890625,33965.16015625,34018.62109375,33791.890625,253570000
2023-04-19,627.4632518375057,33897.01171875,33889.828125,33957.98046875,33814.6484375,251490000
2023-04-20,575.1495072898556,33786.62109375,33740.6015625,33875.390625,33677.73828125,307910000
2023-04-21,562.9677186259864,33808.9609375,33793.6015625,33858.828125,33688.5703125,291080000
2023-04-24,595.3226405020928,33875.3984375,33805.0390625,33891.1484375,33726.08984375,252020000
2023-04-25,486.2376323623427,33530.828125,33828.33984375,33875.48828125,33525.390625,297880000
2023-04-26,400.83464531032587,33301.87109375,33596.33984375,33645.828125,33235.8515625,321170000
2023-04-27,532.7788943384679,33826.16015625,33381.66015625,33859.75,33374.6484375,343240000
2023-04-28,598.192981625466,34098.16015625,33797.4296875,34104.55859375,33728.3984375,354310000
2023-05-01,592.7266882605423,34051.69921875,34116.80859375,34257.828125,34030.140625,244190000
2023-05-02,479.726872390089,33684.53125,34017.62109375,34017.75,33436.66015625,274460000
2023-05-03,449.369723289214,33414.23828125,33726.640625,33811.83984375,33396.05078125,286900000
2023-05-04,431.6116583094063,33127.73828125,33347.78125,33354.859375,32937.5,305160000
2023-05-05,543.069526718632,33674.37890625,33248.55078125,33748.4296875,33248.55078125,316350000
2023-05-08,553.3765928203835,33618.69140625,33715.1484375,33747.48828125,33509.23046875,225680000
2023-05-09,524.0259552589074,33561.80859375,33589.8515625,33656.3984375,33509.71875,232940000
2023-05-10,505.733903931793,33531.328125,33707.19921875,33772.08984375,33239.44921875,271180000
2023-05-11,491.72027200822447,33309.51171875,33383.890625,33389.87890625,33127.69921875,298000000
2023-05-12,513.4832822871339,33300.62109375,33370.578125,33406.3984375,33110.609375,227570000
2023-05-15,496.5948457603187,33348.6015625,33321.2109375,33400.30078125,33161.9296875,224020000
2023-05-16,412.9575925183617,33012.140625,33275.37109375,33290.8515625,33006.19140625,246680000
2023-05-17,464.08200686280014,33420.76953125,33092.48046875,33472.37890625,33050.41015625,307130000
2023-05-18,482.3267277067095,33535.91015625,33374.55859375,33579.91015625,33212.08984375,333070000
2023-05-19,491.29553694191225,33426.62890625,33582.94921875,33652.8984375,33336.66015625,315210000
2023-05-22,486.0942924593064,33286.578125,33408.5390625,33512.30078125,33207.8515625,268900000
2023-05-23,423.1499226770488,33055.51171875,33190.6015625,33310.171875,33013.2890625,291550000
2023-05-24,344.2900783137409,32799.921875,33021.76171875,33031.75,32752.439453125,246180000
2023-05-25,324.31014017578605,32764.650390625,32854.26171875,32870.4296875,32586.560546875,364670000
2023-05-26,367.56775303960006,33093.33984375,32795.5,33162.05859375,32795.5,330290000
2023-05-30,357.4427988945507,33042.78125,33103.6484375,33132.69921875,32893.96875,322700000
2023-05-31,330.3048583621815,32908.26953125,32948.7109375,32984.828125,32739.73046875,689990000
2023-06-01,378.24871451015986,33061.5703125,32929.8515625,33167.75,32704.509765625,349460000
2023-06-02,548.8973881137322,33762.76171875,33187.578125,33805.0,33187.578125,383590000
2023-06-05,520.5900492520855,33562.859375,33771.12890625,33804.21875,33552.7890625,367170000
2023-06-06,550.3672135074332,33573.28125,33547.671875,33631.25,33399.69140625,294070000
2023-06-07,640.2227533191013,33665.01953125,33562.46875,33708.78125,33546.109375,347400000
2023-06-08,618.8111732434287,33833.609375,33656.98046875,33873.80859375,33630.0390625,269160000
2023-06-09,624.555447894036,33876.78125,33852.44140625,33975.3203125,33787.16015625,262310000
2023-06-12,612.032531944672,34066.328125,33906.80078125,34077.83984375,33878.4609375,308130000
2023-06-13,672.0051085771826,34212.12109375,34111.078125,34310.28125,34107.98046875,308790000
2023-06-14,640.8811585211226,33979.328125,34044.69921875,34151.421875,33783.55078125,354910000
2023-06-15,698.5826913166821,34408.05859375,33945.98046875,34488.98046875,33945.98046875,361400000
2023-06-16,707.2367185180676,34299.12109375,34464.01953125,34588.6796875,34285.69140625,595230000
2023-06-20,627.0766663278782,34053.87109375,34206.66015625,34206.66015625,33915.9296875,334810000
2023-06-21,634.6265301355047,33951.51953125,33990.55859375,34097.9296875,33876.171875,323690000
2023-06-22,591.6342150528069,33946.7109375,33900.46875,34003.55859375,33835.390625,275600000
2023-06-23,522.7711606190254,33727.4296875,33835.66015625,33835.66015625,33646.48828125,379800000
